ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-263N|uniprotkb:Q12772	DIP-987N|uniprotkb:Q60431	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)	-	pubmed:8643593|pubmed:DIP-204S|pubmed:8643593|pubmed:DIP-204S	taxid:9606(Homo sapiens)	taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster))	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-117E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-562N|refseq:NP_038570|uniprotkb:P04187	DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7566124|pubmed:DIP-7S|pubmed:7566124|pubmed:DIP-7S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-118E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-38N|refseq:NP_001609|uniprotkb:P09874	 -	-	-	-	MI:0013(biophysical)|MI:0071(molecular sieving)|MI:0401(biochemical)	-	pubmed:7596430|pubmed:DIP-90S|pubmed:7596430|pubmed:DIP-90S|pubmed:7596430|pubmed:DIP-90S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-119E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-392N|uniprotkb:Q00987	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0114(x-ray crystallography)|MI:0019(coimmunoprecipitation)|MI:0254(genetic interference)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0065(isothermal titration calorimetry)|MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)	-	pubmed:10321734|pubmed:DIP-3816S|pubmed:8875929|pubmed:DIP-325S|pubmed:10608892|pubmed:DIP-3811S|pubmed:8875929|pubmed:DIP-325S|pubmed:11223036|pubmed:DIP-3815S|pubmed:10321734|pubmed:DIP-3816S|pubmed:19255450|pubmed:DIP-14373S|pubmed:11278372|pubmed:DIP-3818S|pubmed:19234109|pubmed:DIP-14455S|pubmed:18316739|pubmed:DIP-4751S|pubmed:10321734|pubmed:DIP-3816S|pubmed:9529249|pubmed:DIP-3820S|pubmed:12529318|pubmed:DIP-3819S|pubmed:7926727|pubmed:DIP-265S|pubmed:8875929|pubmed:DIP-325S|pubmed:11070080|pubmed:DIP-3823S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0254(genetic interference)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-120E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-226N|uniprotkb:P14859	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-121E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-51N|uniprotkb:P09086	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-122E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-790N|refseq:NP_004949|uniprotkb:P42345	DIP-87N|refseq:NP_000792|uniprotkb:P20071	 -	-	-	-	MI:0401(biochemical)|MI:0013(biophysical)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-131E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-370N|uniprotkb:P00587	DIP-114N|refseq:NP_001936|uniprotkb:Q99075	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9659904|pubmed:DIP-133S	taxid:10703(Corynephage beta)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-132E	dip-quality-status:core	dip:0002(small scale)		-
DIP-496N|refseq:NP_005635|uniprotkb:Q16514	DIP-496N|refseq:NP_005635|uniprotkb:Q16514	-	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8598932|pubmed:DIP-6S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-148E	dip-quality-status:core	dip:0002(small scale)		-
DIP-496N|refseq:NP_005635|uniprotkb:Q16514	DIP-420N|refseq:NP_003529|uniprotkb:P02304	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-149E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-420N|refseq:NP_003529|uniprotkb:P02304	DIP-435N|uniprotkb:Q16594	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-150E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-493N|uniprotkb:Q62311	DIP-421N|refseq:NP_066402|uniprotkb:P06899	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-151E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-493N|uniprotkb:Q62311	DIP-922N|refseq:NP_003484|uniprotkb:Q16695	 -	-	-	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8598932|pubmed:DIP-6S|pubmed:8598932|pubmed:DIP-6S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-152E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-839N|refseq:NP_011790|uniprotkb:P46677	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7935765|pubmed:DIP-215S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-155E	dip-quality-status:core	dip:0002(small scale)		-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	DIP-1078N|refseq:NP_003185|uniprotkb:P20226	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0018(two hybrid)	-	pubmed:7680771|pubmed:DIP-383S|pubmed:7680771|pubmed:DIP-383S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-156E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	DIP-255N|refseq:NP_729571|uniprotkb:Q24325	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0013(biophysical)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-162E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-343N|refseq:NP_009971|uniprotkb:P23255	DIP-147N|refseq:NP_004597|uniprotkb:P21675	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-164E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1021N|uniprotkb:P11277	DIP-1020N|refseq:NP_003117|uniprotkb:P02549	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8226774|pubmed:DIP-359S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-171E	dip-quality-status:core	dip:0002(small scale)		-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-172E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-435N|uniprotkb:Q16594	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-173E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-496N|refseq:NP_005635|uniprotkb:Q16514	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-174E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S|pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-175E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-717N|refseq:NP_005504|uniprotkb:P29083	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-176E	dip-quality-status:core	dip:0002(small scale)		-
DIP-677N|refseq:NP_002087|uniprotkb:P35269	DIP-493N|uniprotkb:Q62311	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7667268|pubmed:DIP-231S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-177E	dip-quality-status:core	dip:0002(small scale)		-
DIP-435N|uniprotkb:Q16594	DIP-773N|uniprotkb:P49848	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:7597030|pubmed:DIP-344S|pubmed:7597030|pubmed:DIP-344S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-178E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	DIP-435N|uniprotkb:Q16594	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:7597030|pubmed:DIP-344S|pubmed:7597030|pubmed:DIP-344S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-179E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-524N|refseq:NP_044650	DIP-435N|uniprotkb:Q16594	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7597030|pubmed:DIP-344S	taxid:10298(human herpesvirus 1)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-180E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1078N|refseq:NP_003185|uniprotkb:P20226	DIP-269N|uniprotkb:Q15572	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pubmed:7801130|pubmed:DIP-213S|pubmed:7801130|pubmed:DIP-213S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-181E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	DIP-429N|uniprotkb:Q15545	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7824954|pubmed:DIP-45S|pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-182E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	DIP-429N|uniprotkb:Q15545	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pubmed:7824954|pubmed:DIP-45S|pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-183E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-429N|uniprotkb:Q15545	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)	-	pubmed:7824954|pubmed:DIP-45S|pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-184E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-429N|uniprotkb:Q15545	DIP-654N|refseq:NP_009053|uniprotkb:P22415	 -	-	-	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)	-	pubmed:7824954|pubmed:DIP-45S|pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-185E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-429N|uniprotkb:Q15545	DIP-394N|uniprotkb:Q16619	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)	-	pubmed:7824954|pubmed:DIP-45S|pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-186E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-748N|uniprotkb:P43268	DIP-429N|uniprotkb:Q15545	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-187E	dip-quality-status:core	dip:0002(small scale)		-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-188E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1077N|refseq:NP_001505|uniprotkb:Q00403	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7824954|pubmed:DIP-45S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-189E	dip-quality-status:core	dip:0002(small scale)		-
DIP-147N|refseq:NP_004597|uniprotkb:P21675	DIP-582N|refseq:NP_000312|uniprotkb:P06400	 -	-	-	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0045(experimental interaction detection)	-	pubmed:7724524|pubmed:DIP-466S|pubmed:7724524|pubmed:DIP-466S|pubmed:7724524|pubmed:DIP-466S|pubmed:7724524|pubmed:DIP-466S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-191E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-49N|refseq:NP_003122|uniprotkb:P11831	DIP-677N|refseq:NP_002087|uniprotkb:P35269	 -	-	-	-	MI:0018(two hybrid)|MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:7854423|pubmed:DIP-426S|pubmed:7854423|pubmed:DIP-426S|pubmed:7854423|pubmed:DIP-426S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-192E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-239N|refseq:NP_523391|uniprotkb:Q27272	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:7809597|pubmed:DIP-37S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-193E	dip-quality-status:core	dip:0002(small scale)		-
DIP-435N|uniprotkb:Q16594	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)	-	pubmed:7809597|pubmed:DIP-37S|pubmed:11278372|pubmed:DIP-3818S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-194E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-368N|uniprotkb:P04637	DIP-773N|uniprotkb:P49848	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:7809597|pubmed:DIP-37S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-195E	dip-quality-status:core	dip:0002(small scale)		-
DIP-237N|uniprotkb:P47825	DIP-36N|refseq:NP_612482|uniprotkb:P08047	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:8278363|pubmed:DIP-135S|pubmed:8278363|pubmed:DIP-135S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-196E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-36N|refseq:NP_612482|uniprotkb:P08047	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:8327494|pubmed:DIP-202S|pubmed:8327494|pubmed:DIP-202S|pubmed:8327494|pubmed:DIP-202S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-198E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-772N|uniprotkb:P49847	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:7809597|pubmed:DIP-37S	taxid:7227(Drosophila melanogaster)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-199E	dip-quality-status:core	dip:0002(small scale)		-
DIP-652N|refseq:NP_005162|uniprotkb:P18846	DIP-570N|uniprotkb:P03254	 -	-	-	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0071(molecular sieving)|MI:0045(experimental interaction detection)	-	pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S	taxid:9606(Homo sapiens)	taxid:10515(Human adenovirus type 2)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-200E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-570N|uniprotkb:P03254	DIP-632N|uniprotkb:P15336	 -	-	-	-	MI:0071(molecular sieving)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S	taxid:10515(Human adenovirus type 2)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-201E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-570N|uniprotkb:P03254	DIP-344N|uniprotkb:P18847	 -	-	-	-	MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S|pubmed:8139685|pubmed:DIP-106S	taxid:10515(Human adenovirus type 2)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-202E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
